"","B1T0","B1T24","B1T48","B1T72","B1T96","B2T0","B2T24","B2T48","B2T72","B2T96","B3T0","B3T24","B3T48","B3T72","B3T96","B4T0","B4T24","B4T48","B4T72","B4T96","Mix1T0","Mix2T0"
"Agathobacter_rectalis",843499,569354704,685082061,779063213,952732962,792709,633993306,676792561,874399970,646670417,808691,1565498024,1194666456,1411048235,1052390748,3736074,2915448090,2983014558,2103911185,1202782945,246207205,309029258
"Faecalibacterium_prausnitzii",2987823,1544866607,1658131112,1781264642,1715741825,3001096,2097155543,1811423848,1799407832,1323299171,3396527,1571280126,1235623243,1345032218,738897221,11361314,539386242,1234876146,2012243938,941500917,798073535,926298412
"Eubacterium_siraeum",3412176,1013289674,1536228846,1433145784,1098385632,3289958,1564024808,1652047331,1765330885,888246815,3607672,439963195,522152277,284186598,172752770,9093770,115780080,337057015,78360712,51180118,800297780,1063537058
"Bacteroides_ovatus",594441,346484329,606648147,491110656,357007712,446075,508242568,452046488,422699157,399842358,439154,752624978,821940995,765626935,407980061,2472017,440540800,763476122,432462419,167966122,71917263,88178453
"Bacteroides_xylanisolvens",1045695,621558206,1069442944,896038896,662204781,795010,910382950,826743198,715470888,769129599,1009177,1359388712,1492023949,1315907505,698840997,4362074,729030168,1287653757,680111838,287010073,130871719,147180580
"Coprococcus_catus",1041356,1809680363,374643407,139118431,101030754,950944,1722523135,232768864,96285503,70181286,1032113,476606965,76677090,87374141,38572661,9518443,1623563395,71369724,60618664,22077698,385153173,540061800
"Roseburia_intestinalis",444023,668686368,179368412,137289341,141723697,440536,659318108,149063214,120066862,94211613,558555,240484660,113831192,114145342,58655720,3854388,511241914,109953357,203047882,84003968,150307955,189812655
"Lachnospiraceae_bacterium 7_1_58FAA",681221,187760238,321544341,337305709,509039568,587949,248881670,323789765,320758331,303641481,615220,294339898,352340577,538365914,412348332,1544028,427569588,578154738,586966087,442432048,127475560,164366635
"Subdoligranulum_variabile",119973,9849718,10368200,15332078,24771964,142195,6876994,15649839,18053532,17187254,142000,48541099,105945296,132826345,95792895,243139,83231946,143039321,161526562,117664095,26116944,30600172
"Anaerobutyricum_soehngenii",291797,4488804,7808687,5769703,7083487,311070,7040732,14165803,9751808,7967009,359553,13681928,31933203,12245619,7809316,555418,116800962,9221089,46388063,10521403,61316223,71829219
