"","B1T0","B1T24","B1T48","B1T72","B1T96","B2T0","B2T24","B2T48","B2T72","B2T96","B3T0","B3T24","B3T48","B3T72","B3T96","B4T0","B4T24","B4T48","B4T72","B4T96","Mix1T0","Mix2T0"
"Agathobacter_rectalis",4217491,2846773519,3425410303,3895316064,4763664808,3963542,3169966529,3383962803,4371999849,3233352083,4043453,7827490120,5973332277,7055241172,5261953739,18680369,14577240448,14915072786,10519555925,6013914723,1231036021,1545146286
"Faecalibacterium_prausnitzii",5975646,3089733214,3316262224,3562529284,3431483650,6002191,4194311085,3622847696,3598815664,2646598342,6793054,3142560251,2471246485,2690064435,1477794442,22722627,1078772483,2469752292,4024487875,1883001834,1596147069,1852596824
"Eubacterium_siraeum",3412176,1013289674,1536228846,1433145784,1098385632,3289958,1564024808,1652047331,1765330885,888246815,3607672,439963195,522152277,284186598,172752770,9093770,115780080,337057015,78360712,51180118,800297780,1063537058
"Bacteroides_ovatus",1188882,692968657,1213296294,982221311,714015424,892149,1016485135,904092975,845398313,799684716,878308,1505249955,1643881989,1531253870,815960122,4944033,881081600,1526952243,864924838,335932244,143834525,176356906
"Bacteroides_xylanisolvens",1045695,621558206,1069442944,896038896,662204781,795010,910382950,826743198,715470888,769129599,1009177,1359388712,1492023949,1315907505,698840997,4362074,729030168,1287653757,680111838,287010073,130871719,147180580
"Coprococcus_catus",1041356,1809680363,374643407,139118431,101030754,950944,1722523135,232768864,96285503,70181286,1032113,476606965,76677090,87374141,38572661,9518443,1623563395,71369724,60618664,22077698,385153173,540061800
"Roseburia_intestinalis",1332068,2006059102,538105236,411868023,425171090,1321607,1977954322,447189642,360200585,282634837,1675665,721453978,341493574,342436024,175967158,11563164,1533725741,329860069,609143646,252011904,450923864,569437965
"Lachnospiraceae_bacterium 7_1_58FAA",681221,187760238,321544341,337305709,509039568,587949,248881670,323789765,320758331,303641481,615220,294339898,352340577,538365914,412348332,1544028,427569588,578154738,586966087,442432048,127475560,164366635
"Subdoligranulum_variabile",479892,39398870,41472800,61328311,99087855,568777,27507975,62599355,72214127,68749015,568000,194164395,423781182,531305378,383171577,972554,332927781,572157282,646106246,470656378,104467776,122400686
"Anaerobutyricum_soehngenii",2334373,35910428,62469489,46157624,56667891,2488558,56325852,113326418,78014459,63736066,2876424,109455419,255465620,97964945,62474523,4443338,934407695,73768707,371104503,84171224,490529779,574633749
